name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,Effective Cash,Net Cash,Earnings Link
Alteryx,AYX,,12/31/16,,62%,83%,-13%,49%,9%,,1997,2017,135%,0.7,0.7,0.6,20.9,571468.6,47886.1,11.9,42525,78,20%,24%,60%,$99 ,$99 ,62%,,,-22%,$556 ,$61 ,$85 ,60%,$52 ,$52 ,[object Object]
MongoDB,MDB,,7/31/17,,51%,71%,-36%,14%,-45%,,2007,2017,120%,0.6,0.6,0.4,30.2,269969.3,31635.7,8.5,30232,83,44%,25%,76%,$142 ,$130 ,55%,105%,48%,-73%,$475 ,$94 ,$124 ,53%,$92 ,$92 ,[object Object]
Cloudera,CLDR,,1/31/17,,45%,70%,,,-44%,,2008,2017,143%,0.5,0.4,0.3,36.1,7419074.4,,,448000,109,35%,42%,77%,$291 ,$224 ,53%,,,-84%,$835 ,$201 ,$261 ,57%,$255 ,$255 ,[object Object]
SailPoint Technologies,SAIL,,9/30/17,,40%,75%,3%,43%,-2%,,2004,2017,,1,0.9,0.7,16.1,,346037.7,,59107,148,19%,10%,44%,$174 ,$49 ,48%,,,1%,$321 ,$124 ,$162 ,,,,[object Object]
Yext,YEXT,,1/31/17,,39%,73%,-15%,24%,-20%,,2006,2017,119%,0.5,0.7,0.4,30.1,,,,,103,,25%,73%,$142 ,,,,,,$353 ,$102 ,$124 ,39%,$24 ,$24 ,
Bandwidth,BAND,,9/30/17,,7%,45%,3%,10%,6%,,2000,2017,105%,1.4,3,0.6,18.5,,,,,209,7%,24%,8%,$165 ,,,,,7%,$273 ,$154 ,$159 ,,$5 ,($33),[object Object]
Appian Corporation,APPN,,3/31/17,,7%,67%,,,9%,,1999,2017,,1,1.3,0.7,17.3,,,,,119,19%,13%,44%,$153 ,,,12%,56%,-9%,$297 ,$143 ,$135 ,9%,,,[object Object]
Elastic N.V.,ESTC,,7/31/18,,79%,73%,-11%,68%,8%,,2012,2018,142%,1.2,1,0.9,14,575132.6,55854,10.3,35636,125,34%,18%,54%,$226 ,$196 ,77%,87%,91%,-33%,$476 ,$126 ,$184 ,79%,$51 ,$51 ,[object Object]
Smartsheet,SMAR,,1/31/18,,68%,81%,-23%,44%,-30%,,2005,2018,130%,0.8,0.7,0.6,18.6,18868.4,13059.9,1.4,1605,85,29%,17%,61%,$131 ,$119 ,63%,,,-26%,$345 ,$78 ,$111 ,68%,$58 ,$58 ,[object Object]
Zuora,ZUO,,1/31/18,,62%,51%,-17%,45%,-18%,,2006,2018,110%,1.1,0.7,0.6,20.9,954429.2,,,142121,163,22%,14%,42%,$199 ,$138 ,39%,,,-27%,$294 ,$122 ,$167 ,48%,$48 ,$33 ,[object Object]
Zscaler,ZS,,1/31/18,,53%,81%,-14%,39%,-10%,,2007,2018,122%,0.7,0.8,0.6,20.5,,,,,109,20%,14%,60%,$179 ,$179 ,53%,95%,56%,-14%,$446 ,$117 ,$154 ,54%,$71 ,$71 ,[object Object]
Eventbrite,EB,,6/30/18,,51%,56%,41%,92%,-61%,643%,2008,2018,,2.7,,1.5,8,,,,,212,16%,32%,27%,$270 ,($5),,,,-20%,$331 ,$179 ,$255 ,66%,$258 ,$192 ,[object Object]
Tenable Holdings,TENB,,6/30/18,,44%,84%,-5%,39%,-2%,,2002,2018,,0.7,0.5,0.6,21.8,,-2083578.9,,,175,28%,17%,66%,$254 ,,,83%,53%,-26%,$436 ,$176 ,$225 ,46%,$26 ,,[object Object]
