name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,EV / 2020 Revenue,EV / 2021 Revenue,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Run Rate,EV / NTM Revenue,EV / NTM Gross Profit Run Rate,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,EV / LTM Free Cash Flow,Enterprise Value,Effective Cash,Net Cash,Earnings Link
Slack,WORK,$24.93 ,1/31/20,"$13,721 ",49%,87%,-10%,39%,16.7x,12.4x,0%,,2009,2019,0.6x,65%,17.8x,20.6x,12.6x,15.3x,14.5x,132%,0.7,0.5,0.6,21.2,81245.5,16035,5.1,6549,341,51%,28%,57%,$727 ,$727 ,49%,63%,78%,-50%,$777 ,$487 ,$630 ,57%,-205.6x,"$12,952 ",$768 ,$768 ,[object Object]
Coupa Software,COUP,$129.06 ,1/31/20,"$8,234 ",49%,64%,14%,63%,18.0x,14.2x,18%,93%,2006,2016,3.7x,74%,18.5x,21.1x,13.1x,16.8x,20.4x,,0.9,1,0.6,19.9,,,,,286,23%,17%,38%,$445 ,,,124%,39%,-14%,$457 ,$299 ,$389 ,50%,146.7x,"$8,216 ",$767 ,$17 ,
Shopify,SHOP,$345.97 ,12/31/19,"$40,281 ",47%,52%,1%,48%,17.5x,13.1x,8%,,2004,2015,12.4x,62%,18.7x,24.0x,13.4x,17.5x,25.6x,,1.6,3.9,0.8,14.5,,,,,369,20%,12%,26%,"$2,020 ",$732 ,37%,86%,54%,-6%,"$2,160 ","$1,375 ","$1,578 ",47%,2909.7x,"$37,826 ","$2,455 ","$2,455 ",[object Object]
Cloudera,CLDR,$7.58 ,1/31/20,"$2,177 ",47%,73%,,,2.0x,1.8x,-5%,,2008,2017,0.4x,63%,2.0x,2.1x,1.4x,2.0x,2.0x,,0.5,0.5,0.3,35.9,,,,,318,32%,16%,56%,$846 ,$731 ,49%,139%,33%,-30%,$835 ,$578 ,$794 ,66%,,"$1,693 ",$483 ,$483 ,
Okta,OKTA,$117.10 ,1/31/20,"$14,193 ",45%,73%,6%,51%,19.2x,14.4x,11%,,2009,2017,5.0x,83%,20.5x,23.4x,14.9x,17.7x,20.3x,119%,0.6,0.7,0.5,25.3,692448,158589.1,4.4,79748,276,26%,19%,55%,$669 ,$634 ,46%,90%,50%,-27%,$714 ,$461 ,$586 ,47%,381.3x,"$13,728 ","$1,403 ",$465 ,[object Object]
MongoDB,MDB,$123.85 ,1/31/20,"$7,028 ",44%,72%,-9%,36%,12.7x,9.8x,-9%,,2007,2017,3.8x,69%,12.2x,14.3x,8.9x,11.8x,12.4x,,1.2,1.5,0.9,14,,35130,,27705,288,34%,17%,37%,$494 ,$471 ,46%,87%,51%,-33%,$475 ,$341 ,$421 ,62%,-167.8x,"$6,041 ",$986 ,$986 ,[object Object]
Fastly,FSLY,$18.21 ,12/31/19,"$1,706 ",44%,57%,,,6.1x,4.7x,-15%,,2011,2019,0.8x,54%,6.8x,,5.0x,6.1x,8.7x,136%,1.6,2.1,0.9,13.3,,-25412.4,,,385,22%,22%,37%,$235 ,,,124%,36%,-24%,$261 ,$163 ,,,,"$1,604 ",$131 ,$101 ,
Anaplan,PLAN,$28.09 ,1/31/20,"$3,753 ",42%,75%,-9%,33%,8.0x,6.1x,-6%,,2008,2018,1.2x,45%,8.8x,9.9x,6.5x,7.4x,8.6x,,0.6,0.6,0.4,28.7,,,,255714,249,21%,22%,71%,$392 ,$358 ,50%,85%,49%,-38%,$430 ,$277 ,$348 ,45%,-114.8x,"$3,443 ",$309 ,$309 ,
2U,TWOU,$19.49 ,12/31/19,"$1,240 ",42%,,-11%,30%,1.8x,1.6x,19%,,2008,2014,,28%,2.0x,2.3x,1.5x,1.8x,,,0.6,0.4,,,,,,,249,22%,23%,50%,$652 ,,,127%,33%,-25%,$732 ,$460 ,$574 ,40%,-19.9x,"$1,316 ",$170 ,($77),
Avalara,AVLR,$67.81 ,12/31/19,"$5,290 ",40%,69%,3%,43%,10.3x,8.4x,13%,,1999,2018,1.9x,73%,11.2x,12.6x,8.4x,10.3x,12.1x,111%,0.7,0.9,0.5,25.2,230619.9,55990.3,4.1,33361,217,24%,17%,43%,$430 ,$399 ,40%,123%,33%,-14%,$468 ,$307 ,$382 ,41%,401.9x,"$4,823 ",$466 ,$466 ,
DocuSign,DOCU,$87.90 ,1/31/20,"$15,774 ",38%,75%,4%,42%,13.0x,9.9x,6%,-4%,2003,2018,2.3x,95%,14.2x,16.0x,10.7x,11.8x,14.3x,,0.6,0.7,0.4,28.7,,,,,275,19%,13%,59%,"$1,099 ","$1,032 ",38%,110%,34%,-15%,"$1,197 ",$798 ,$973 ,39%,362.4x,"$15,583 ",$656 ,$190 ,
Atlassian Corporation,TEAM,$132.77 ,12/31/19,"$33,320 ",37%,84%,35%,71%,18.2x,14.9x,49%,41%,2002,2015,4.8x,86%,19.7x,22.8x,15.0x,18.2x,17.9x,,1.5,2.7,1.2,9.7,,13600.4,,5573,383,42%,15%,17%,"$1,634 ",$914 ,50%,93%,39%,10%,"$1,772 ","$1,195 ","$1,415 ",36%,66.0x,"$32,254 ","$1,937 ","$1,066 ",[object Object]
