ticker,name,type,dilution,capital_raised,rrr__m,rev_growth,arr__m,arr_growth,effective_cash,net_cash,market_cap__m,founding_year,ipo_year,last_filing,gross_margin,ltm_fcf_pct,efficiency,quarter_fcf_pct,ltm_free_cash_flow_growth_pct,net_dollar_retention,ltm_magic_number,quarter_magic_number,cac_ratio,ltm_median_payback_period,implied_5yr_ltv,implied_cac,implied_5yr_ltv/cac,arr_per_customer,run_rate/employees__k,r&d_pct,general_admin_margin,s&m_pct,growth_persistence,last_year_quarter_growth,operating_income_pct,2020_analyst_revenue_estimates,last_year_run_rate__m,ltm_revenue__m,ltm_revenue_growth
SVMK,Survey Monkey,bot_up_ent,,315,250,17,225.7,16.18257261,43,-274,1674,1999,2018,6/30/18,72,12,29,15,,,0.4,1,0.3,46.2,,2.9,,,224,26,21,32,,,-7,378,214,233,
WDAY,Workday,top_down_ent,,230.5500031,250,108,168,115,122,122,28437,2005,2012,7/31/12,55,-33,75,-3,,,1.5,0.9,0.8,14.7,,,,,20,38,12,47,,,-42,"4,161",120,199,
INST,Instructure,top_down_ent,,89.1,83,68,53.388,-99,13.608,13.608,1875,2008,2015,9/30/15,67,,,88,,100,0.5,1.4,0.4,32.7,,,,,58,31,22,63,,,-48,302,49,65,
PCTY,Paylocity,ignore,,10,95,,18,,,,4344,1997,2014,12/31/13,44,,,,,,1.4,1.2,0.6,18.8,,,,,33,10,22,23,,,-10,617,,,
NEWR,New Relic,bot_up_ent,,214.5,101,77,101.444,77.49860022,92,92,2708,2007,2014,9/30/14,80,-49,28,-84,,115,0.7,0.6,0.5,22.8,,,,7331,49,21,21,75,67,115,-37,661,57,85,93
TLND,Talend S.A.,bot_up_ent,,101.58,101,38,84,40,9.429,-1.795,607,2005,2016,6/30/16,75,-16,22,-8,,124,0.4,,0.3,43.8,,,,,76,0,1,0,197,19,-30,297,73,88,
DBX,Dropbox,bot_up_ent,,1710,"1,222",28,1222,28,430,255,7661,2007,2018,12/31/17,70,28,56,19,122,,1.1,1,0.7,16.1,,,,,270,34,14,34,,,-12,"1,888",952,"1,106",31
DOMO,Domo,top_down_ent,,689.6500244,127,32,106,39,71,71,252,2010,2018,4/30/18,64,-134,-103,-121,,105,0.3,0.4,0.2,56,385821.4,287575.3,1.3,66499,124,40,9,83,64,49,-135,188,96,116,41
APPN,Appian Corporation,ignore,,,,,,,,,,1999,2017,3/31/17,,,,,,,,,,,,,,,,,,,,,,,,,
PANW,Palo Alto Networks,top_down_ent,,65,262,111,174,98,82.822,82.822,16435,2005,2012,4/30/12,72,,,10,,,2.4,1.4,1.7,6.9,,23283.6,,22451,34,16,10,46,,,0,"3,523",124,219,
PING,Ping Identity,ignore,,128.3500061,249,26,225,27,83,80,1470,2016,2019,6/30/19,79,,,,,115,3.9,2.8,3,4,,,,,255,17,14,32,175,15,9,269,198,215,11
SWI,SolarWinds,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUO,Zuora,top_down_ent,,247.5,199,62,138,39,48,33,915,2006,2018,1/31/18,51,-17,45,-18,,110,1.1,0.7,0.6,20.9,954429.2,,,142121,163,22,14,42,,,-27,294,122,167,48
FEYE,FireEye,top_down_ent,,826.4500122,132,108,68,79,54,34,2196,2004,2013,6/30/13,69,-23,86,-102,,,1.7,0.7,1.2,10.4,,,,61818,41,42,31,113,104,104,-118,933,63,115,121
MULE,Mulewoft,top_down_ent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLY,Fastly,bot_up_ent,,219,163.188,35.8224856,163.188,35.8224856,83.642,83.642,2222,2011,2019,,,,,,,132,26.924,,,,,,,,,,,,,,,,,,
